id,title,artist,album,year,mood,genre,lyrics
1,Chak De India,Sukhwinder Singh,Chak De India,2007,energetic,patriotic,"Chakk de! Chakk de India! Chakk de! Mera gham Chakk de, mera naam Chakk de!"
2,Kal Ho Naa Ho,Sonu Nigam,Kal Ho Naa Ho,2003,emotional,romantic,"Har pal yahan, jee bhar jiyo, jo hai samaa, kal ho naa ho"
3,Tujhe Dekha To,Kumar Sanu,Dilwale Dulhania Le Jayenge,1995,romantic,love,"Tujhe dekha to ye jaana sanam, pyar hota hai deewana sanam"
4,Chaiyya Chaiyya,Sukhwinder Singh,Dil Se,1998,energetic,folk,"Chaiyya chaiyya chaiyya chaiyya, chale chaiyya chaiyya chaiyya chaiyya"
5,Badtameez Dil,Benny Dayal,Yeh Jawaani Hai Deewani,2013,peppy,dance,"Badtameez dil, maane na, maane na"
6,Tum Hi Ho,Arijit Singh,Aashiqui 2,2013,emotional,romantic,"Tum hi ho, adhure hum hain, tumhare bina"
7,Kabhi Khushi Kabhie Gham,Lata Mangeshkar,Kabhi Khushi Kabhie Gham,2001,emotional,family,"Kabhi khushi kabhie gham, kabhi khushi kabhie gham"
8,Senorita,Farhan Akhtar,Zindagi Na Milegi Dobara,2011,fun,fusion,"Senorita, bade bade deshon mein"
9,Dil Se Re,A.R. Rahman,Dil Se,1998,soulful,sufi,"Dil se re, dil se re, dil se re, dil se re"
10,Balam Pichkari,Vishal Dadlani,Yeh Jawaani Hai Deewani,2013,festive,holi,"Balam pichkari jo tune mujhe maari, toh seedhi saadi chhori sharabi ho gayi"
11,Jiya Jale,Lata Mangeshkar,Dil Se,1998,romantic,classical-fusion,"Jiya jale jaan jale, nainon tale dhuaan chale"
12,Satrangi Re,Sonu Nigam,Dil Se,1998,melodious,sufi,"Satrangi re satrangi re, satrangi re satrangi re"
13,Ajab Si,KK,Om Shanti Om,2007,romantic,soft,"Ajab si, ajab si, adaayein hain tumhari"
14,Maa Tujhe Salaam,A.R. Rahman,Vande Mataram,1997,patriotic,inspirational,"Maa tujhe salaam, maa tujhe salaam"
15,Dhoom Machale,Sunidhi Chauhan,Dhoom,2004,energetic,dance,"Dhoom machale, dhoom machale dhoom"
16,Tu Hi Meri Shab Hai,KK,Gangster,2006,romantic,slow,"Tu hi meri shab hai, subah hai, tu hi din hai mera"
17,Ae Mere Humsafar,Udit Narayan,Baazigar,1993,romantic,love,"Ae mere humsafar ek zara intezaar"
18,O Palan Haare,Lata Mangeshkar,Lagaan,2001,devotional,classical,"O palan haare, nirgun aur nyaare"
19,Aaj Ki Raat,Sonu Nigam,Don,2006,mysterious,suspense,"Aaj ki raat hona hai kya, pata nahi"
20,Mere Haath Mein,Sonu Nigam,Fanaa,2006,romantic,love,"Mere haath mein tera haath ho"
21,Khambe Jaisi Khadi Hai,Kumar Sanu,Dil,1990,romantic,classic,"Khambe jaisi khadi hai, ladki hai ya chhadi hai"
22,Papa Kehte Hain,Udit Narayan,Qayamat Se Qayamat Tak,1988,motivation,inspirational,"Papa kehte hain bada naam karega"
23,Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,2016,emotional,heartbreak,"Channa mereya mereya, channa mereya mereya"
24,Jumma Chumma,Sudesh Bhosle,Hum,1991,dance,festive,"Jumma chumma de de, jumma chumma de de"
25,Lag Ja Gale,Lata Mangeshkar,Woh Kaun Thi,1964,romantic,classic,"Lag ja gale ke phir ye haseen raat ho na ho"
26,Om Shanti Om,Bappi Lahiri,Karz,1980,disco,dance,"Om shanti om, om shanti om"
27,Aye Mere Watan Ke Logon,Lata Mangeshkar,Non-film,1963,patriotic,national,"Aye mere watan ke logon, zara aankh me bhar lo paani"
28,Hum Tum Ek Kamre Mein,Kishore Kumar,Bobby,1973,romantic,playful,"Hum tum ek kamre mein band ho, aur chaabi kho jaye"
29,Choli Ke Peeche,Alka Yagnik,Khalnayak,1993,folk,dance,"Choli ke peeche kya hai, chunari ke neeche kya hai"
30,Chaand Sifarish,Shaan,Fanaa,2006,romantic,love,"Chaand sifarish jo karta hamari, deta woh tumko bataa"
31,Roja Jaaneman,S. P. Balasubrahmanyam,Roja,1992,romantic,melodious,"Roja jaaneman, pyaar hai mujhko tumse"
32,Pehla Nasha,Udit Narayan,Jo Jeeta Wohi Sikandar,1992,romantic,love,"Pehla nasha, pehla khumar, naya pyaar hai, naya intezaar"
33,Kabira,Arijit Singh,Yeh Jawaani Hai Deewani,2013,sufi,soulful,"Kabira maan ja, kabira maan ja"
34,Kajra Re,Alisha Chinai,Bunty Aur Babli,2005,dance,party,"Kajra re kajra re, tere kaare kaare naina"
35,Main Hoon Don,Shaan,Don,2006,energetic,dance,"Main hoon don, main hoon don"
